left_side,right_side,similairity
Monsapk12,Monsapk16,0.824456721
Monsapk12,Monsapk19,0.824456721
Monsapk12,Monsapk18,0.820727872
Monsapk12,Monsapk17,0.816123234
Monsapk11,Monsapk1,0.911288479
Monsapk11,Monsapk12,0.841324356
Monsapk11,Monsapk15,0.821864614
Monsapk11,Monsapk14,0.819538838
Monsapk11,Monsapk10,0.81688421
Monsapk11,Monsapk16,0.813797143
Monsapk11,Monsapk19,0.813797143
Monsapk11,Monsapk18,0.810116504
Monsapk11,Monsapk17,0.8055714
Moinshaikh003,Moinshaikh001,0.902665655
Moinshaikh003,Moinshaikh002,0.901551434
Moinshaikh003,Moinshaikh004,0.884166138
Monsapk10,Monsapk101,0.936222551
Monsapk10,Monsapk1,0.896405726
Monsapk10,Monsapk12,0.827584225
Monsapk10,Monsapk11,0.81688421
Monsapk10,Monsapk15,0.808442291
Monsapk10,Monsapk14,0.806154499
Monsapk10,Monsapk16,0.800506574
Monsapk10,Monsapk19,0.800506574
Ramusk1,Ramusk10,0.888999293
kadali18,kadali1,0.837739802
kadali17,kadali1,0.826326488
kadali16,kadali1,0.85203655
Monsapk2,Monsapk20,0.906218108
Moinshaikh002,Moinshaikh001,0.909969242
Moinshaikh002,Moinshaikh003,0.901551434
Moinshaikh002,Moinshaikh004,0.891320044
Monsapk1,Monsapk12,0.923225055
Monsapk1,Monsapk11,0.911288479
Monsapk1,Monsapk15,0.901870958
Monsapk1,Monsapk14,0.899318775
Monsapk1,Monsapk10,0.896405726
Monsapk1,Monsapk16,0.89301814
Monsapk1,Monsapk19,0.89301814
Monsapk1,Monsapk18,0.888979201
Monsapk1,Monsapk17,0.883991644
kadali15,kadali1,0.845806236
kadali14,kadali1,0.868291086
kadali13,kadali1,0.85203655
Moinshaikh001,Moinshaikh002,0.909969242
Moinshaikh001,Moinshaikh003,0.902665655
Moinshaikh001,Moinshaikh004,0.89242162
kadali12,kadali1,0.907816816
kadali11,kadali1,0.868291086
kadali10,kadali1,0.865055686
Nilu77888,Nilu7788,0.941015657
Nilu7788,Nilu77888,0.941015657
kadali3,kadali33,0.873801742
kadali3,kadali32,0.861428841
kadali3,kadali31,0.847803334
kadali3,kadali30,0.836897333
kadali2,kadali20,0.867305846
kadali2,kadali23,0.854450542
kadali2,kadali22,0.854450542
kadali2,kadali25,0.854450542
kadali2,kadali28,0.854450542
kadali2,kadali26,0.848295486
kadali2,kadali27,0.848295486
kadali2,kadali21,0.840323499
kadali2,kadali24,0.840323499
kadali1,kadali12,0.907816816
kadali1,kadali19,0.878305498
kadali1,kadali14,0.868291086
kadali1,kadali11,0.868291086
kadali1,kadali10,0.865055686
kadali1,kadali16,0.85203655
kadali1,kadali13,0.85203655
kadali1,kadali15,0.845806236
kadali1,kadali18,0.837739802
Soberxd,Soberxdx,0.894923464
Testaccount544,Testaccount543,0.877391127
Testaccount544,Testaccount545,0.877391127
Testaccount544,Testaccount549,0.875317364
Testaccount544,Testaccount541,0.869748375
Testaccount544,Testaccount546,0.869748375
Testaccount544,Testaccount542,0.865701716
Testaccount544,Testaccount547,0.865701716
Testaccount544,Testaccount548,0.865701716
Hero121121,Hero121,0.854780189
Doctor000,Doctor0,0.891073523
Rk1110,Rk1111,0.831879251
Deepak121211,Deepak12121,0.94710787
Good1234,Good12345,0.944818076
Testaccount543,Testaccount544,0.877391127
Testaccount543,Testaccount545,0.877391127
Testaccount543,Testaccount549,0.875317364
Testaccount543,Testaccount541,0.869748375
Testaccount543,Testaccount546,0.869748375
Testaccount543,Testaccount542,0.865701716
Testaccount543,Testaccount547,0.865701716
Testaccount543,Testaccount548,0.865701716
Testaccount542,Testaccount543,0.865701716
Testaccount542,Testaccount544,0.865701716
Testaccount542,Testaccount545,0.865701716
Testaccount542,Testaccount549,0.863655581
Testaccount542,Testaccount541,0.858160788
Testaccount542,Testaccount546,0.858160788
Testaccount542,Testaccount547,0.854168042
Testaccount542,Testaccount548,0.854168042
Deepak12121,Deepak121211,0.94710787
Doctor0,Doctor000,0.891073523
Aiiiiiiiii,Hiiiiiiiiih,0.958343068
Aiiiiiiiii,Abhiiiiiii,0.941581404
Chanchal13,Chanchal12,0.828871837
Biglick,Biglick69,0.822865145
Kaleem7834,Kaleem786,0.809885179
Chanchal12,Chanchal13,0.828871837
Abhi321995,Abhi321,0.811104984
Super11,Super12,0.805296372
Bluffmaster$,Bluffmaster11,0.843677251
Bluffmaster$,Bluffmaster78,0.835074799
Nakul122,Nakul12,0.920466084
Vipin111,Vipin11,0.938919662
Aryadarshi11,Aryadarshi,0.848181533
Mohit244,Mohit24,0.889589553
Rajeshpoker,Rajeshpok,0.909178751
Abhiiiiiii,Aiiiiiiiii,0.941581404
Abhiiiiiii,Hiiiiiiiiih,0.928567734
Testaccount541,Testaccount543,0.869748375
