user,amount,date
5a01f64fdfbd0c001c03445a,421.0000,"2020-09-03 13:42:52.542070"
5a058ec4dfbd0c001c0344b9,200.0000,"2020-09-27 08:57:20.321723"
5a0683c8dfbd0c001c0344e1,82.0000,"2020-09-01 16:23:10.551281"
5a071db6ec1cda001bd277d4,4000.0000,"2020-09-10 21:20:50.426221"
5a0767c8dfbd0c001c034522,220.0000,"2020-09-02 18:30:33.960202"
5a088d4aec1cda001bd27820,100.0000,"2020-09-13 14:37:53.206726"
5a09a690dfbd0c001c034582,770.0000,"2020-09-03 20:35:44.293056"
5a0be20cec1cda001bd2788a,550.0000,"2020-10-11 19:37:29.710020"
5a0df36fdfbd0c001c0345f4,1100.0000,"2020-09-11 14:35:30.004586"
5a0f64acdfbd0c001c034612,10.0000,"2020-09-02 12:54:20.300805"
5a0fef40ec1cda001bd278e4,400.0000,"2020-09-03 20:41:25.282960"
5a1599b6ec1cda001bd2797f,1000.0000,"2020-09-04 00:49:40.342870"
5a15d1e0dfbd0c001c0346ca,500.0000,"2020-09-01 00:01:51.795995"
5a17b9c8de3fcd001ac33c79,20000.0000,"2020-09-03 00:40:46.016965"
5a1a3a68ad99f1001d07c161,40000.0000,"2020-10-05 01:28:20.951495"
5a1a4c98ad99f1001d07c164,680.0000,"2020-09-04 20:34:34.088285"
5a1a7f11ad99f1001d07c16f,300.0000,"2020-09-04 22:58:51.700885"
5a1aa2fead99f1001d07c178,550.0000,"2020-09-05 18:10:52.858382"
5a1aac99ad99f1001d07c17a,800.0000,"2020-09-12 22:39:56.568514"
5a1ac62cad99f1001d07c184,5000.0000,"2020-09-01 16:26:24.123726"
5a1aedafde3fcd001ac33cd8,2000.0000,"2020-09-06 15:41:51.580402"
5a1eb9563ff589001b057c1f,50.0000,"2020-10-02 12:43:36.449030"
5a1fe142a90e4a001a5f4e58,10.0000,"2020-10-23 12:54:48.046175"
5a2049713ff589001b057c57,250.0000,"2020-10-30 23:04:40.778494"
5a2188390b5797001c1af17e,2000.0000,"2020-09-01 11:40:09.106753"
5a2199760b5797001c1af188,220.0000,"2020-11-03 21:48:36.987553"
5a21de7208fe27001be4ea05,630.0000,"2020-11-12 22:44:27.484579"
5a2262eb0b5797001c1af19e,550.0000,"2020-09-12 21:43:41.919875"
5a23c31d08fe27001be4ea64,5000.0000,"2020-10-23 17:28:21.943667"
5a24cb9908fe27001be4ea97,1000.0000,"2020-09-09 22:50:46.273416"
5a24e82408fe27001be4eaa7,137.0000,"2020-09-02 14:54:47.803955"
5a25309508fe27001be4eab9,550.0000,"2020-09-03 14:30:31.433716"
5a2763e50b5797001c1af2b7,1000.0000,"2020-09-09 14:24:05.422453"
5a2936b708fe27001be4eb99,500.0000,"2020-09-06 11:43:07.346896"
5a2b78470b5797001c1af34f,2000.0000,"2020-09-17 15:27:31.666947"
5a2d2776b0dc7b001e612567,2000.0000,"2020-09-01 21:20:51.578152"
5a3046107278f90021b800c5,1650.0000,"2020-09-30 21:35:57.476434"
5a30ce25b0dc7b001e6125d4,300.0000,"2020-10-09 21:24:25.443584"
5a3159a87278f90021b800f3,2000.0000,"2020-10-01 23:47:29.431854"
5a317836b0dc7b001e6125ff,100.0000,"2020-09-05 11:48:45.594549"
5a317a52b0dc7b001e612601,100.0000,"2020-09-10 20:52:53.308212"
5a320bb9b0dc7b001e61261b,50000.0000,"2020-09-05 09:06:16.574049"
5a32460f7278f90021b80111,880.0000,"2020-09-01 23:06:54.628057"
5a3318d1b0dc7b001e6126f2,870.0000,"2020-11-06 20:26:21.458082"
5a334bad7278f90021b801f6,165.0000,"2020-09-01 18:13:38.279254"
5a334cebb0dc7b001e612709,660.0000,"2020-10-25 17:16:00.161829"
5a3384e1b0dc7b001e61275a,3000.0000,"2020-09-01 00:05:06.266462"
5a33ae0f7278f90021b80259,1000.0000,"2020-09-01 14:21:57.641368"
5a349148b0dc7b001e6127f5,200.0000,"2020-09-15 00:43:54.407024"
5a34fb94b0dc7b001e612856,120.0000,"2020-09-07 23:08:53.910107"
5a35e6f2b0dc7b001e6128da,5000.0000,"2020-09-20 20:23:27.507074"
5a35efecb0dc7b001e6128e4,2000.0000,"2020-09-14 05:47:04.689643"
5a3612e5b0dc7b001e612906,1500.0000,"2020-09-05 13:12:53.551316"
5a3679f67278f90021b80433,85.0000,"2020-10-13 23:25:39.468043"
5a36d7ad7278f90021b80473,5000.0000,"2020-09-01 22:14:17.087067"
5a37c371b0dc7b001e6129f2,550.0000,"2020-09-17 15:10:29.870874"
5a37fc4f7278f90021b8052b,10.0000,"2020-09-08 14:56:02.325042"
5a3814cfb0dc7b001e612a40,700.0000,"2020-09-10 21:51:13.978283"
5a3819987278f90021b80535,5000.0000,"2020-09-07 13:15:27.534658"
5a387831b0dc7b001e612a51,1000.0000,"2020-10-03 21:05:01.965015"
5a38b79bf73c5a001adb2642,25000.0000,"2020-10-05 01:00:57.311057"
5a38bbbdf73c5a001adb2646,20.0000,"2020-10-25 17:44:08.851577"
5a38d6a9f73c5a001adb2658,879.0000,"2020-09-03 12:04:00.966632"
5a39463a1188b6001d6e7e25,30000.0000,"2020-10-13 16:18:04.489034"
