f_player_id,buyin,f_name,f_tournament_id,f_playing_time_limit,f_ticket_distribution,date
16010251,0.0000,"Daily Freeroll NLH",141933059,0,,"2020-10-19 07:59:56"
16019046,0.0000,"Daily Freeroll NLH - Nano Package",141715164,0,G,"2020-10-17 21:59:55"
16019266,0.0000,"Daily Freeroll NLH",139300986,0,,"2020-09-29 14:59:55"
16039101,110.0000,"10 Tkt Satty Main Event Flight 1B",135847913,3300,G,"2020-09-05 12:29:55"
16052010,11.0000,"Texas Madness - Half Price Rebuy",138643191,0,,"2020-09-01 16:29:55"
16091117,0.0000,"Daily Freeroll PLO",135242242,0,,"2020-09-01 08:59:55"
16112922,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
16127478,0.0000,"Daily Freeroll NLH",142589946,0,,"2020-10-24 03:59:55"
16153384,0.0000,"Daily Freeroll PLO - Nano Package",142267097,0,G,"2020-10-21 23:59:55"
16165021,55.0000,"Time Crunch (15 min)",141084996,900,,"2020-10-12 12:39:55"
16202078,110.0000,"The Royal Battle",135573121,0,,"2020-09-03 17:59:58"
16244012,550.0000,"Turbo Nightout @ 1 AM",135585383,0,,"2020-09-04 00:59:55"
16249958,0.0000,"Daily Freeroll NLH",135978503,0,,"2020-09-06 10:59:55"
16252200,770.0000,"SM #4 StackUp Lite (6 Max)",138715400,0,,"2020-09-27 18:59:55"
16271820,0.0000,"Daily Freeroll PLO",135242248,0,,"2020-09-01 12:00:00"
16288891,0.0000,"Daily Freeroll NLH",139838275,0,,"2020-10-03 17:59:56"
16344357,0.0000,"Daily Freeroll NLH",135163631,0,,"2020-09-01 00:59:55"
16358997,880.0000,"Turbo Yorker",144900713,0,,"2020-11-10 22:29:55"
16372865,550.0000,"Bounty 17K @ 12 AM",139220161,0,,"2020-09-28 23:59:50"
16403621,55.0000,"Morning Grind",137443289,0,,"2020-09-15 11:29:55"
16406087,0.0000,"Daily Mega Freeroll",141416812,0,,"2020-10-15 15:59:55"
16417375,1100.0000,"Progressive KO",144960770,0,,"2020-11-11 20:29:55"
16428493,1375.0000,"SM #4 StackUp",143277614,0,,"2020-11-01 19:59:55"
16451695,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
16455038,0.0000,"Daily Freeroll NLH",142195110,0,,"2020-10-21 09:59:55"
16482901,0.0000,"Daily Freeroll NLH",141043792,0,,"2020-10-12 09:59:55"
16512280,0.0000,"Daily Freeroll NLH",137204951,0,,"2020-09-14 10:59:55"
16516925,110.0000,"10K @ 9 PM",137648588,0,,"2020-09-16 21:09:55"
16532499,110.0000,"10K @ 9 PM",138643185,0,,"2020-09-02 20:59:55"
16541858,66.0000,"Turbo Luncheon @1:30PM",138786385,0,,"2020-09-01 07:59:55"
16562277,0.0000,"Daily Freeroll NLH",136754366,0,,"2020-09-11 19:00:00"
16584281,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
16600120,550.0000,"Time Crunch (15 min)",143000653,900,,"2020-10-27 14:26:55"
16611608,550.0000,"Mini StackUp",138093726,0,,"2020-09-01 21:59:55"
16613650,550.0000,"Mini StackUp",138093726,0,,"2020-09-01 16:29:55"
16614721,0.0000,"Daily Mega Freeroll",135573113,0,,"2020-09-03 15:59:55"
16619855,0.0000,"Daily Freeroll PLO",140418445,0,,"2020-10-07 16:59:55"
16634072,12.0000,"Time Crunch (15 min)",135284708,900,,"2020-09-01 12:54:55"
16663542,0.0000,"Daily Freeroll NLH",145332010,0,G,"2020-11-13 16:59:55"
16669676,0.0000,"Daily Freeroll NLH",135242244,0,,"2020-09-01 09:59:55"
16670266,110.0000,"Time Crunch (15 min)",135838666,900,,"2020-09-05 02:26:55"
16704527,0.0000,"Daily Freeroll NLH",135573107,0,,"2020-09-03 14:59:55"
16736239,0.0000,"Daily Freeroll PLO",135163639,0,,"2020-09-01 04:59:55"
16762367,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",135242250,3600,,"2020-09-01 13:59:55"
16783491,1650.0000,StackUp,134911310,0,,"2020-09-02 19:59:57"
16834171,0.0000,"Daily Freeroll NLH",140883672,0,,"2020-10-11 03:59:55"
16834197,10.0000,"PKO Nano",137205048,0,,"2020-09-14 18:29:59"
16835028,55.0000,"Time Crunch (15 min)",141034822,900,,"2020-10-11 23:10:00"
16842127,550.0000,"Mini StackUp",134911203,0,,"2020-09-01 14:29:50"
16871474,0.0000,"Daily Freeroll PLO - Nano Package",135635280,0,G,"2020-09-03 23:59:55"
16890728,770.0000,"SM #3 - StackUp Lite (6 Max)",135140239,0,,"2020-09-06 18:59:55"
16902952,0.0000,"Daily Freeroll NLH",135242232,0,,"2020-09-01 20:59:55"
16906274,11.0000,"Texas Madness - Half Price Rebuy",138643191,0,,"2020-09-01 09:59:55"
16906405,0.0000,"Daily Freeroll NLH",138225677,0,,"2020-09-21 17:59:55"
16919551,110.0000,"Time Crunch (15 min)",135275234,900,,"2020-09-01 09:54:55"
16921576,0.0000,"Daily Freeroll PLO",144721652,0,,"2020-11-09 17:00:00"
16943248,55.0000,"Time Crunch (15 min)",140688663,900,,"2020-10-08 22:49:55"
16952394,0.0000,"Daily Freeroll NLH",141294023,0,,"2020-10-14 18:59:55"
16955936,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
16972613,550.0000,"ME 1E- SM #5 Main Event",135775575,0,G,"2020-09-06 16:29:55"
16994192,0.0000,"Daily Freeroll NLH",140808293,0,,"2020-10-10 22:59:55"
17013940,550.0000,"Turbo Nightout @ 1 AM",135585383,0,,"2020-09-04 00:59:55"
17035544,0.0000,"Daily Freeroll PLO",142959815,0,,"2020-10-27 16:59:55"
17052248,0.0000,"Daily Freeroll NLH",135696552,0,,"2020-09-04 22:59:55"
17054783,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
17057278,0.0000,"Daily Mega Freeroll",135823942,0,,"2020-09-05 15:59:55"
17117763,770.0000,"StackUp Lite",139112758,0,,"2020-10-01 19:59:55"
17118172,0.0000,"Daily Mega Freeroll",136616158,0,,"2020-09-10 15:59:59"
17140214,0.0000,"Daily Freeroll NLH - Satty",139735582,0,G,"2020-10-02 12:59:56"
17182779,0.0000,"Daily Freeroll PLO",135242256,0,,"2020-09-01 16:59:55"
17200233,100.0000,"Daily 5K @ 4 PM",145379088,0,,"2020-11-14 15:59:55"
17206773,12.0000,"Time Crunch (15 min)",135935866,900,,"2020-09-05 19:28:55"
17210678,0.0000,"Daily Freeroll NLH - Satty",142195140,0,G,"2020-10-21 12:59:55"
17214769,770.0000,"SM #4 StackUp Lite (6 Max)",138715400,0,,"2020-09-27 18:59:55"
17216807,55.0000,"Time Crunch (15 min)",137583278,900,,"2020-09-16 10:39:55"
17217774,770.0000,"SM #3 - StackUp Lite (6 Max)",135140239,0,,"2020-09-06 18:59:55"
