user,amount,date
5a1a4c98ad99f1001d07c164,7000.0000,"2020-09-17 21:47:33.738619"
5a1a7f11ad99f1001d07c16f,1989.0000,"2020-10-15 17:19:29.364893"
5a1aa2fead99f1001d07c178,32000.0000,"2020-09-24 01:23:06.641971"
5a1aedafde3fcd001ac33cd8,7500.0000,"2020-09-06 02:56:09.259640"
5a214fb13ff589001b057c7c,250.0000,"2020-09-17 17:47:01.311621"
5a215b1d3ff589001b057c83,4750.0000,"2020-09-02 23:55:12.761979"
5a2188390b5797001c1af17e,18000.0000,"2020-09-03 15:15:56.316186"
5a2199760b5797001c1af188,1000.0000,"2020-11-08 20:45:52.844075"
5a21a76908fe27001be4e9fe,3000.0000,"2020-10-22 00:07:15.968150"
5a2277aa0b5797001c1af1a6,5000.0000,"2020-09-04 16:07:48.836995"
5a22c2c608fe27001be4ea34,120.0000,"2020-11-10 21:31:19.676145"
5a22cb7308fe27001be4ea35,1926.0000,"2020-11-11 13:11:42.714615"
5a22e8e808fe27001be4ea3c,2100.0000,"2020-09-28 00:44:21.922479"
5a23e46c0b5797001c1af1e0,2518.0000,"2020-09-26 11:54:20.151444"
5a24cb9908fe27001be4ea97,1000.0000,"2020-09-09 22:51:21.922916"
5a24e82408fe27001be4eaa7,1000.0000,"2020-10-31 01:49:53.605313"
5a2573fe08fe27001be4eac1,2000.4100,"2020-09-05 16:19:11.625377"
5a2936b708fe27001be4eb99,9000.0000,"2020-10-04 00:05:43.185807"
5a2b78470b5797001c1af34f,3000.0000,"2020-10-22 14:08:24.322990"
5a2d2776b0dc7b001e612567,2609.0000,"2020-09-01 22:40:04.164136"
5a30ce25b0dc7b001e6125d4,600.0000,"2020-10-10 10:28:19.274230"
5a3159a87278f90021b800f3,17400.0000,"2020-10-10 01:51:36.174537"
5a317a52b0dc7b001e612601,287.8100,"2020-10-21 23:27:00.034422"
5a320bb9b0dc7b001e61261b,17000.0000,"2020-09-05 10:54:29.546679"
5a32460f7278f90021b80111,895.0000,"2020-10-03 00:42:50.330228"
5a334cebb0dc7b001e612709,8000.0000,"2020-10-08 07:31:50.729780"
5a3384e1b0dc7b001e61275a,6800.0000,"2020-09-01 00:16:40.729252"
5a33ae0f7278f90021b80259,8000.0000,"2020-09-01 15:38:49.869396"
5a34fb94b0dc7b001e612856,500.0000,"2020-09-07 23:53:46.374514"
5a35e6f2b0dc7b001e6128da,3390.0000,"2020-11-04 07:26:11.756857"
5a35efecb0dc7b001e6128e4,30.0000,"2020-10-01 18:15:49.600401"
5a3679f67278f90021b80433,230.0000,"2020-10-15 17:57:02.410982"
5a36d7ad7278f90021b80473,5219.0000,"2020-09-07 16:55:11.819391"
5a37c371b0dc7b001e6129f2,20000.0000,"2020-09-19 20:13:00.666539"
5a37fc4f7278f90021b8052b,500.0000,"2020-09-23 13:43:36.085556"
5a3814cfb0dc7b001e612a40,10000.0000,"2020-09-13 19:53:44.724149"
5a38b79bf73c5a001adb2642,15443.0000,"2020-10-05 17:55:05.540906"
5a38d6a9f73c5a001adb2658,878.4000,"2020-09-03 10:05:04.376479"
5a39463a1188b6001d6e7e25,14570.0000,"2020-09-12 23:15:26.460490"
5a39661a1188b6001d6e7e3e,488.0000,"2020-11-02 00:07:38.844807"
5a398e731188b6001d6e7e4b,1200.0000,"2020-10-07 17:42:13.565603"
5a3b57f2f73c5a001adb2805,15000.0000,"2020-09-29 18:32:45.975806"
5a3b8e641188b6001d6e7fac,50000.0000,"2020-09-13 03:58:32.587700"
5a3baf5bf73c5a001adb286b,7000.0000,"2020-09-15 03:25:20.615108"
5a3c1977f73c5a001adb28cc,1100.0000,"2020-09-24 19:22:34.385788"
5a3ca7a21188b6001d6e805a,5536.2100,"2020-09-07 04:19:14.992906"
5a3d3252f73c5a001adb29a7,10000.0000,"2020-09-03 04:28:10.103623"
5a3d4c541188b6001d6e811d,500.0000,"2020-09-17 12:52:34.108814"
5a3d4d981188b6001d6e811f,1000.0000,"2020-09-02 01:50:12.167239"
5a3d9a9ef73c5a001adb29e9,3000.0000,"2020-09-02 13:44:44.360818"
5a3da659f73c5a001adb29ec,9339.0000,"2020-09-02 03:03:53.272167"
5a3defa0f73c5a001adb2a17,8397.0000,"2020-09-08 01:48:21.537889"
5a3e21e6f73c5a001adb2a45,104000.0000,"2020-09-29 17:30:48.050549"
5a3e3078bd20a5001a141381,2476.0000,"2020-09-02 16:47:42.682277"
5a3e4962a084dd001a3c48e8,300.0000,"2020-09-08 20:54:10.577346"
5a3e81f6a084dd001a3c4948,8400.0000,"2020-09-07 01:11:10.892484"
5a3e9170a084dd001a3c4962,224.0000,"2020-09-02 03:14:21.396300"
5a3e9635a084dd001a3c4965,13500.0000,"2020-09-02 12:31:17.453655"
5a3fdf219c1eb6001c9aa4ba,2300.0000,"2020-09-10 18:16:16.929006"
5a405270a73a05001a580e24,70.2900,"2020-09-17 14:06:14.567582"
5a4083339c1eb6001c9aa502,1200.0000,"2020-11-02 13:46:42.030758"
5a40b6789c1eb6001c9aa545,300.0000,"2020-11-08 00:54:57.777809"
5a40e32aa73a05001a580e9f,60.0000,"2020-09-01 12:34:08.053793"
5a413302a73a05001a580ee4,35000.0000,"2020-09-01 06:49:08.975949"
5a413a3fa73a05001a580eea,3462.5500,"2020-09-07 08:42:21.519154"
5a41f395a73a05001a580f24,5363.3500,"2020-09-28 16:26:44.217438"
5a42454ba73a05001a580f8d,2990.0000,"2020-09-02 12:25:34.481152"
5a424dfb9c1eb6001c9aa661,945.0000,"2020-09-07 03:24:19.242568"
5a424f00a73a05001a580f97,28.0500,"2020-09-05 14:55:52.539054"
5a425f4c9c1eb6001c9aa684,4000.0000,"2020-09-08 02:47:18.799978"
5a428dc39c1eb6001c9aa6c3,7000.0000,"2020-11-03 09:52:29.020594"
5a42ba629c1eb6001c9aa6e2,400.0000,"2020-09-01 02:53:11.149985"
5a436ddca73a05001a581091,2000.0000,"2020-09-08 20:11:01.937619"
5a4371c69c1eb6001c9aa76c,2880.0000,"2020-09-01 08:53:18.819016"
5a439080a73a05001a5810b9,4000.0000,"2020-09-05 11:04:32.605715"
5a449e3ea73a05001a581156,6100.0000,"2020-09-01 15:51:18.374703"
5a44c0e59c1eb6001c9aa837,1025.7300,"2020-10-11 20:15:18.332077"
5a44f6419c1eb6001c9aa87f,30481.0000,"2020-09-01 19:09:45.287727"
5a44fa4e9c1eb6001c9aa88b,351.0000,"2020-10-25 14:47:23.424654"
5a45269f9c1eb6001c9aa8e7,250.0000,"2020-09-09 09:35:52.242596"
5a45a83f9c1eb6001c9aa940,5750.0000,"2020-09-01 09:19:12.239711"
5a46210fd5598b001a6edbdc,200000.0000,"2020-10-01 20:11:55.016717"
5a468d39ad03f1001a07b512,800.0000,"2020-10-06 22:20:52.637422"
5a47b839ad03f1001a07b5bc,5000.0000,"2020-09-15 16:55:22.773934"
5a48cd2dad03f1001a07b5f2,1000.0000,"2020-11-07 19:35:38.664453"
5a4b8c2fad03f1001a07b6f0,12000.0000,"2020-09-03 17:59:03.415607"
5a4ca0a8ad03f1001a07b7a4,1788.0000,"2020-10-21 14:27:26.007580"
5a4cbe4f08a956001a06e88d,470.0000,"2020-09-03 20:20:52.209354"
5a4cbf7108a956001a06e895,106.0000,"2020-10-22 12:55:34.902379"
5a4cfdf808a956001a06e96b,3050.0000,"2020-09-24 22:49:24.842656"
5a4ddeb508a956001a06eb13,500.0000,"2020-09-08 12:21:15.338165"
5a4e00a3ad03f1001a07baeb,3200.0000,"2020-09-09 22:41:02.233242"
5a4e06f00ea066001c45baad,325.7800,"2020-09-01 21:33:30.835258"
5a4e6584aa43a2001c06ff8a,1500.0000,"2020-09-11 11:25:51.728997"
5a4f14d70ea066001c45bc26,20378.4500,"2020-09-18 07:44:23.181273"
5a4f442d0ea066001c45bc98,1500.0000,"2020-09-21 12:32:14.752757"
5a4f52e4aa43a2001c0700b6,10000.0000,"2020-09-07 00:50:32.735884"
5a4f5bff0ea066001c45bcbc,800.0000,"2020-09-08 14:20:22.266894"
5a4f67300ea066001c45bcce,1100.0000,"2020-10-21 13:18:59.369074"
5a4fafaa0ea066001c45bd42,1075.0000,"2020-09-15 11:38:10.785331"
5a4fb47faa43a2001c070175,900.0000,"2020-09-26 23:56:12.564020"
5a4fc2660ea066001c45bd6b,860.0000,"2020-09-10 16:15:57.953503"
5a5048a8aa43a2001c0701f0,102.0000,"2020-09-20 13:54:52.030646"
5a50e727aa43a2001c070290,10200.0000,"2020-09-21 10:22:55.559513"
5a510d94aa43a2001c07029a,500.0000,"2020-09-01 00:36:05.262764"
5a51f4840ea066001c45beb4,9600.0000,"2020-09-01 01:45:44.545841"
5a52108daa43a2001c0702d8,18000.0000,"2020-09-06 13:33:31.052019"
