f_player_id,count,wins,date
11332854,87,58,2020-06-24
11332854,56,31,2020-06-25
11332854,54,34,2020-06-26
11332854,73,46,2020-06-27
11332854,79,49,2020-06-28
11332854,104,59,2020-06-29
11332854,125,70,2020-06-30
11332854,16,7,2020-07-01
11332854,32,20,2020-07-02
11332854,90,42,2020-07-03
11332854,46,24,2020-07-04
11332854,67,39,2020-07-05
11332854,23,10,2020-07-06
11332854,52,26,2020-07-07
11332854,82,52,2020-07-08
11332854,73,39,2020-07-09
11332854,15,7,2020-07-10
11332854,7,4,2020-07-11
11332854,5,2,2020-07-13
11332854,34,18,2020-07-14
11332854,40,23,2020-07-15
11332854,3,3,2020-07-17
11332854,22,12,2020-07-18
11332854,25,10,2020-07-19
11332854,5,2,2020-07-20
11332854,9,3,2020-07-21
11332854,62,37,2020-07-22
11332854,7,4,2020-07-23
11332854,42,17,2020-07-25
11332854,26,12,2020-07-26
11332854,12,5,2020-07-27
11332854,2,0,2020-07-31
11332854,32,18,2020-08-01
11332854,19,13,2020-08-02
11332854,1,1,2020-08-03
11332854,17,8,2020-08-04
11332854,8,5,2020-08-11
11332854,13,8,2020-08-12
11332854,41,27,2020-08-13
11332854,8,5,2020-08-14
11332854,23,13,2020-08-18
11332854,12,8,2020-08-25
11332854,24,12,2020-08-28
11332854,18,12,2020-08-29
11332854,85,40,2020-08-30
11332854,51,24,2020-08-31
11332854,37,18,2020-09-03
11332854,5,2,2020-09-04
11332854,24,8,2020-09-05
11332854,20,10,2020-09-10
11332854,1,0,2020-09-11
11332854,14,8,2020-09-17
11332854,19,11,2020-09-18
11332854,38,24,2020-09-19
11332854,54,21,2020-09-20
11332854,5,1,2020-09-21
11332854,3,0,2020-09-22
11332854,7,4,2020-09-29
11332854,3,1,2020-09-30
11332854,15,10,2020-10-03
11332854,39,25,2020-10-04
11332854,13,6,2020-10-05
11332854,11,6,2020-10-06
11332854,3,2,2020-10-07
11332854,46,22,2020-10-08
11332854,17,5,2020-10-09
11332854,7,4,2020-10-10
11332854,26,11,2020-10-11
11332854,15,8,2020-10-12
11332854,2,2,2020-10-13
11332854,17,10,2020-10-14
11332854,5,1,2020-10-15
11332854,45,26,2020-10-16
11332854,4,2,2020-10-17
11332854,2,0,2020-10-22
11332854,28,16,2020-10-23
11332854,5,2,2020-10-31
11332854,11,8,2020-11-04
11332854,28,23,2020-11-05
11332854,67,33,2020-11-06
11332854,6,3,2020-11-07
11332854,8,4,2020-11-24
11332854,20,13,2020-11-30
11332874,1,0,2020-06-02
11332874,10,8,2020-08-25
11332874,2,0,2020-09-10
11348143,1,0,2020-08-16
11348143,2,2,2020-09-03
11348143,1,1,2020-09-07
11348143,2,1,2020-11-20
11368237,2,0,2020-06-03
11368237,1,1,2020-06-08
11368237,1,0,2020-06-10
11368237,1,0,2020-06-11
11368237,1,0,2020-06-14
11368237,1,0,2020-06-15
